Submission Title,Submission Url,Plain Description,Video,Website,File Url,Desired Prizes,Built With,First Time,What Room Are You In?,What's Your Table Number?,Mlh Points,Mlh Hardware Lab,Mlh Software Lab,Submitter Screen Name,College/Universities Of Team Members,Additional Team Member Count,Team Member 1 Screen Name,...,
Mocking Bird,https://hackcuv.devpost.com/submissions/113924-mocking-bird,"Inspiration

We wanted to build something that lets companies use social media to improve their products and attract more potential investors.

What it does

Users type any search item in box and the app summarizes people's sentiment towards this topic in live stream mode. This is mainly geared towards public relations officers that want to analyze people's sentiment towards their company in real time. 

How we built it

The frontend part of app uses Java. The backend is written in Python and uses Tweepy (python wrapper for Twitter API) and text sentiment analysis method api. We collect 20 tweets in real time, and then run sentiment analysis for all the tweets. Then the interface shows the summary in a user friendly way.

Accomplishments that we're proud of

We were able to learn and effectively use APIs within just a few hours of the hackathon. 

What I learned

We learned how to work together as a team. We also learned to use APIs that we had no idea existed a couple of days ago!

What's next for Mocking Bird

1) Letting users collect tweets within a certain time interval to see changes in public perception.

2) Adding visual aspect to the summarization part.

3) Enable voice commands for topic searching.
",,https://github.com/MoritzHayden/HackCUV_TweetAnalysis,,"Best use of Twitter API, Coolest Hack with Twilio, RapidAPI Best OctoAPI Hack","python, java, tweepy, text-sentiment-analysis-method, twilio, rapidapi",0,North atrium,48,University of Wyoming,,,DamirPulatov,University of Wyoming,2,KrishnaSaiChemudupati,MoritzHayden,
Cyber Snake,https://hackcuv.devpost.com/submissions/113925-cyber-snake,"1. Game Title

Cyber Snake

2. Summary

The Elevator Pitch
This game will make a 10-13 years old kid play for hours having fun while he is learning basic cyber security aspects. Nothing is what it seems to be on real Internet 

Theme/Genre
Modern arcade game

Audience
10-13 years old kids

Game Flow Summary
Cyber Snake is a brilliant endless arcade game in which you take control of a snake. Your snake can only hit the objects that corresponds to the answer of the question game. When a correct object is hit, the user will earn 5 points. Those are the different types of challenges while playing:
Cryptography: A word is said to the user. If the word to encrypt is , the user must hit those word objects that its letters are in the right in the alphabet. Like  for . So, any ���d�۝ is transformed to an ���e�۝ and any ""a"" is transformed to ���b�۝:

ABCDEFG
|.......|........
BCDEFGH          

In order to be easy at the beginning we could use two letter that are very close together in the alphabet. As difficult is the lever, the difficulty can increase by adding more letters, more displacement and larger words.

Passwords: Word objects appear with passwords in it.User must avoid easy-to-hack passwords such as ���hello�۝ ���12345�۝ ���catsandogs�۝, and hit the objects with difficult passwords. Difficult passwords of each level will be:
Easy: Those that have lower and capital letters.
Medium: Those that have numbers and lower and capital letters.
Easy: Those that have numbers, lower and capital letters and special characters

Authentication: It will be shown an emoji. Then, the user will have to avoid all the emojis that are not that one, and catch the one. 

An increase to the difficulty, we could ask security questions to the user, 4 responses could be provided as 4 objects and the user cannot avoid not hitting any of them. Two security questions could be asked:
What was your last score?
What was your highest score?

Back-up data: Used as a checkpoint. If you don�۪t catch the back-up data object a message will be shown, notifying that the user that data can be lost in case of emergency, or a Game Over. In the case the user hits the Back-up data object and then he dies, he will restart the game in the last Back-up data object hitted. So he doesn�۪t have to start from the beginning. 
Firewall (not designed): Two types of emojis will approach the user. One of them will be a ���known access�۝ and the other one a ���not-known access�۝.

3. Educational Design

Learning Objectives
Every time the user makes a  bad decision, we explain them why it was a bad decision and so we explain them the cyber security theory behind that game mode. This theory difficulty and completeness of the method will increase when the level of the game is higher.

This theory will include the following points:
Cryptography
Difficult password generator
Authentication
General Cyber Hygiene: Back up data
Firewall

Puzzle/Challenge Structure
Every time the user completes a level, the difficulty increases and the feedback given is even more complex.

The main idea is to start with very basic cyber security concepts at the beginning levels and make them more difficult once the player reaches higher levels.

Play Flow
Images to explain the play flow

4. Storyline

Setting
They user will be able to select between Easy, Medium and Advance levels.

Apart of increasing the difficulty of the levels, the snake will move faster so the user will have less time to think about the correct solution.

Another setting is that the user can choose to play any random mode of game or to select an specific one. 

Characters
The main character is a ���snake�۝ which will be the one that the user will control. 

5. Game Play Mechanics

Controls
The snake will move Left/Right as the user scrolls his finger left/right the screen.
There are going to be some levels where the user will have to ���kill�۝ some bad guys shooting balls.

Levels
For the MVP  the user could select between Easy, Medium and Advanced. And select a random game of mode or an specific one. 

For the next iteration, there could be an ���infinite�۝ number of levels. Starting at level 0 where the cyber security knowledge will be very basic, every time the user finishes a level, the difficulty of the challenges will increase, the learning feedback will have more technical aspects and the snake�۪s speed will increase so the user will have a shorter time to think.

Technical Requirements:  AI, Art Assets
It will be implemented with 2-D Unity. No AI needed, just easy programming skills on Game development. Art Assets may be needed to increment user experience. UI is very important for kids to get engaged on the game. 

It is known that 10-year-old kids focusing is not stable, so it will have to be implemented colorful and with trendy music played on. 

6. Scoring Method

For the MVP, in the main screen appears the last score and the highest score for the game of mode selected in the Settings.

For the next iteration, as we will have levels the score will increase proportionally to the number of levels the user survives playing. The further you get, the more points you have. If some ���missions�۝ are completed, such as catching the correct words, some points will be awarded too.

There will be a global ranking and a friends ranking. This will engage the user to keep playing until they reach the top of the ranking. You can connect with facebook, instagram and phone book numbers (as kids of this age may not have an account to those social networks), so friends competing will be one of the main points on kids to be engaged.
",,https://docs.google.com/presentation/d/1Znw4TZrY3kyuhnIoqHk1wHGy2afyNW5Ynh1sAaANXxo/edit?usp=sharing,,"Design, Build or Break Cyber Games for K-12 Education, Best Beginner Hack",,1,Main auditorium,36,uccs,,,ericvelazquez,University of Colorado at Colorado Springs,3,brunoibez,lluisumbert,damiafuentes
HackCUV2019,https://hackcuv.devpost.com/submissions/113926-hackcuv2019,"HackCUV2019

Contributions from:


Nadiv Gold Edelstein:    Backend
Zack Jorquera:    Hardware
Ria Thakker:    Frontend
Ian Jorquera:    Embedded Systems




CHALLENGES
REQUIREMENTS



Best Hardware Hack
Best hack using hardware.


Dish Device Tracker
Track an object (thing) as it moves through any points on the CU Campus, visualize or display the data in a meaningful way, solve a consumer pain-point or create some additional value for society.


Splunk Challenge
The team who processes and makes sense of the most unstructured data will win!


MLH: Best IoT Hack using a Qualcomm Device
Use a Qualcomm device, like the Dragonboard 410C, in your IoT project.


Rapid API
use 2 or more APIs through the RapidAPI platform. It can be any of the 8,000+ APIs on the marketplace, the more APIs you use the better! Bonus points for creating and exposing your API publicly or privately using RapidAPI to add authentication, billing, analytics, and more. Important URLS: docs.rapidql.com, docs.rapidapi.com, provider.rapidapi.com.


Twilio
combining various of our own APIs, use our APIs in ways we haven�۪t seen before or by solving a great problem with them



THE PACKAGE PROTECTOR

Use Protection��

Ever had an expensive package destroyed in the mail? Probably. It's happened to all of us at some point.

But now, with the advent of inexpensive microcomputers like Arduino, Raspberry Pi, and Qualcomm Dragonbard 410c, companies can provide a near-omniscient view of your package from the moment it leaves the warehouse to the moment it shows up at your door.

In the future, you can log in to a website and get minute by minute updates on your package's condition, but for now, we're using Twilio's API's to send you critical information as it occurs and Rapid's APIs to give you premium access to maps so you can check the exact location of your important goods.

To prove we're the best, we check our data against UPS, DHL, FedEx, and USPS, and with the ability to get detailed statistics about your order delivered direct to your phone, filing damaged or lost package claims is dead easy.

The microcomputer will come stocked with a variety of sensors including:


GPS for accurate tracking of your package. Out with tracking numbers and in with real-time updates
Accelerometer to let you know if your fragile package had and unexpected bumps or bruises in transit
Water sensor in case of the unfortunate event of dropping your package in the ocean


We care deeply about your package, and you should too. There's no better way to ensure your package is insured and lives up to the high shipping costs you pay.
",,https://github.com/ZackJorquera/HackCUV2019,,"MLH: Best Domain Registered with Domain.com, MLH: Best IoT Hack using a Qualcomm Device, Dish Device Tracker, Coolest Hack with Twilio, RapidAPI Best OctoAPI Hack, Best Hardware Hack, Best Beginner Hack","c++, python, javascript, html, css",1,"Table 11, big TV area",11,CU Boulder,Dragonboard 410c,Qualcomm,jorqueraian,University of Colorado at Boulder,3,ZackJorquera,riathakkar,Borab3
HitMemeUp,https://hackcuv.devpost.com/submissions/113927-hitmemeup,"Inspiration

We wanted a handy way to get memes (like giphys on slack) and we decided the most convenient way to do this would be to send query to a server over text and receive images/gifs back.

What it does

It is very simple, text a query for an imgur image, receive a random image that matches that query.

How we built it

We used a flask backend in a docker container on a remote server to handle requests from Twilio and retrieve image URLs from Imgur.

Challenges we ran into

Coming up with a valid idea was a challenge, we wanted a project we could finish and something that would be interesting and useful; hence the simplicity. In terms of actual development, we had issues retrieving some images because they where embedded in an album of one image. In order for the app to actually send images, as opposed to links to images, we had to dig through the Imgur api and combine a few api calls in order to retrieve the image URL.

Accomplishments that we're proud of

Going from concept to ""finished"" project. I think its easy to come up with a big grand idea and after 24 hours have that cut back to the bare working minimum. 

What we learned

We learned how to use Twilio and how powerful it can be. We also learned how to take our vague idea and polish it out.

What's next for HitMemeUp

We would like to expand it so we can send memes to other people and also pull memes from other sources.
",,https://github.com/imanoreotwe/HitMemeUp,,"Coolest Hack with Twilio, RapidAPI Best OctoAPI Hack","flask, imgur, twilio",1,Main Auditorium,42,Colorado State University,,,imanoreotwe,Colorado State University,2,myou11,wstnmssr,
BillHub,https://hackcuv.devpost.com/submissions/113930-billhub,"Inspiration

I wanted to stay more up to date with current US legislation and bill proposals.

What it does

BillHub allows users to identify which representatives views align with their values the most and allows them to follow legislation that may affect their everyday lives.

How we built it

We built the web app utilizing the MERN stack with a responsive frontend.

Challenges we ran into

Data transfer to/from MongoDB and working with varying API data structures (SendGrid/CivicFeed). Also dealing with merging conflicts since we didn't delegate tasks as efficiently as possible.

Accomplishments that we're proud of

Building a functional full stack application in 24 hours.

What we learned

How to utilize SendGrid and how to better interpret API documentation.

What's next for BillHub

Making a mobile application using a hybrid framework like Ionic 4 or React Native. Integrating Twilio for real-time text updates on legislation.
",,https://github.com/Dillonpyle/hackCUV,,"Coolest Hack with Twilio, RapidAPI Best OctoAPI Hack","javascript, css, html, react, express.js, mongodb, sendgrid, rapidapi, node.js",0,Winter Park,8,General Assembly,,,TylerN7,,1,Dillonpyle,,
"Song: ""No Whales""",https://hackcuv.devpost.com/submissions/113931-song-no-whales,"I don't expect to win anything with this, I just had a great time

my Spotify is: https://spoti.fi/2GZUWZA
",,https://soundcloud.com/tropiguay/no-whales,,,ableton-live,0,Eldora,4,University of Colorado Boulder,,,alma7479,University of Colorado at Boulder,0,,,
Data-Mining Clickstreams,https://hackcuv.devpost.com/submissions/113932-data-mining-clickstreams,"Inspiration

We had an interest in data science, and Oppenheimer Funds had a large set of data that needed analyzing.  

What it does

The project attempts to organize seemingly unrelated clickstream data into a group of clusters that should cover roughly 80% of web traffic to oppenheimerfunds.com  

How we built it

We used python and Unix terminal commands to break down the data into smaller groups that were then funnelled into the Google Cloud platform to produce graphs.  

Challenges we ran into

The data sets produced graphs that were too complex to be generated on a local machine. We needed to utilize the computing provided by Google's Cloud computing to generate some of the graphs.  

Accomplishments that we're proud of

We succeeded to graph a number of the data sets we produced.  

What we learned

Never try to export a directed graph with 3 million nodes to a .dot file locally.
Gained a much greater familiarity with graphing packages in Python.  

What's next for Data-Mining Clickstreams

Due to the results we achieved, no future projects are planned. The conclusions we have drawn may be used to potentially reshape the current Oppenheimer website, however that is the extent of the usefulness of our findings.
",,,,Big Data Analytics: Non-Obvious Web Traffic,"python, google-cloud, pandas, networkx, bokeh",1,Main auditorium,39,CU Denver,,Google Cloud Platform,morichikarinnosuke17,University of Colorado Denver,2,codygardner,Benstanton,
TransparentHouseContract,https://hackcuv.devpost.com/submissions/113934-transparenthousecontract,"College students only receive information that landlord provides thus they get swindled 

Inspiration

We have been victim of the backdoor and shady landlords and bad properties. I should not have been living in home where the lead paint was covered up, or where the windows would not open in room leaving us with no fire escape. Landlords use unethical methods because they know that college students need cheaper housing. But they should not have to find out bad parts of places that they live. We want to bring transparency to the college renting market. We want to know what the status of our rental properties before we move in. We want to know what other renters have paid so we know that they market is fair. We want to see the true status of the house before and after every renter has moved in and out. 

What it does

We built a Soildity smart contract to not only pay rent every month to the landlord but keep all information transparent. 

How we built it

We used Remix an online solidity complier to not only test on a mock blockchain with fake ether

Challenges we ran into

The Moving parts in a contract. We have limited experience in Soildity so we are still trying to understand how object interact with a contract. We struggled with how to make everything viewable in a very functional way

Accomplishments that we're proud of

We wer brave enough to keep going after all of our failed ideas and challenges. 

What we learned

Soildity is difficult. It is hard to figure out how to keep track of objects but also not over spend the gas money that each user would need to interact with the contract

What's next for TransparentHouseContract

We would love to add more functionality. It would love to be able to have a logical flow of what the property looks like, keep track of damages, repair and inspections.
",,https://github.com/crgoldstein/TransparentHouseContract,,"Best Smart contract usage, Best Beginner Hack","soildity, blockchain, remix, dapp, ether, crypto",1,Main Auditorium,41,Colorado State University,,,crgoldstein,Colorado State University,0,,,
youtube-comment-analysis ,https://hackcuv.devpost.com/submissions/113936-youtube-comment-analysis,"Inspiration

We wanted to provide content creators with a tool that gives them a more in-depth understanding of their communities reception of their videos. A simple like and dislike bar doesn't accurately model the views sentiment of a video, and going through thousands of comment manually is incredibly inefficient. In addition, a like/dislike bar only is heavily weighted towards the initial reactions to a video, and looking at the comments in a structured way can give you an idea of how people are reacting to it much later.

What it does

The program is a single page application where a user gives a Youtube URL and number of comments. The backend uses the Youtube API to pull the most recent comments (about 200), parses them and determines semantics using NLTK, and then gives data back to the user that would be useful. We return a overall sentiment analysis, a measure of toxicity (which is the % of comments are negative), a word cloud of the most popular words, and finally the most positive and negative comments on the video. These tend to be highly exaggerated, and therefore humorous comments, and we had many hours of fun just looking at videos.

How we built it

We used the Python textBlob natural language processing library for the sentiment analysis. We used the Youtube API for pulling comment threads on videos The backed of the website is managed with flask. The front end is a HTML web page powered by bootstrap and jinga templating.

Challenges we ran into


Learning how to use the YouTube API was difficult, because the example code they gave was broken
Figuring out what a content creator was interested in
No one on our team was particularly strong with front end development, so we struggled getting the css working in a way that looked good
Flask was very finnicky and at one point segfaulted
Getting the front end to connect with the backend was tough
Getting the word cloud to display properly was incredibly annoying 


Accomplishments that we're proud of


We are proud of getting all of our analytical tools to work and display data, particularity the word cloud.
That we managed to make any product at all
That we found a package that would help us get the Youtube comments to work
We managed to make our own form of toxicity
The top comments are hilariously bad
emojis are for some reason supported and show up in the word cloud
Baby by Justin Bieber got a redemption arc
John Oliver has one angry comment section


What we learned


We learned a lot about the nuances of front end development
working with APIs
Natural Language processing using Textblob and NLTK.
hosting using flask


What's next for youtube-comment-analysis


Return main ideas of comments (and comment threads)
compare the comment statistics of two different videos
use the time stamp of comments to visualize the community engagement in the video over time
Display most active commentators
Which comments are fake

",,https://github.com/kasplat/youtube-comment-analyzer,,"Splunk Challenge, MLH: Best use of Google Cloud Platform, Best Beginner Hack, Big Data Analytics: Non-Obvious Web Traffic","python-textblob, jinja, html, youtube, flask",0,Main Atrium,41,"Rochester Institute of Technology, CU Boulder",,,Kvenkatram,"University of Colorado at Boulder, Rochester Institute of Technology",1,kasplat,,
CAN Theft Auto: Blockchain,https://hackcuv.devpost.com/submissions/113938-can-theft-auto-blockchain,"Inspiration

Modern computer systems rely on logging events to keep track of actions that have taken place on a system. However, these logs aren't secured in any way, so if an attacker compromises a system they can modify those logs to remove any traces of their presence. This was an issue in the attacks on the Ukrainian Power Grid, where logs were deliberately modified by attackers to hide their tracks.

What it does

Our solution was to create a blockchain of log contents, so the information could be verified and any changes could be flagged. Our blockchain logger takes in log data and creates a blockchain out of it by hashing the data to the appropriate difficulty (in our case, 24 bits of zeros), posting the hash and our RSA signature of the has to our website, and publishing the hash, time, and nonce to the Etherium Ropsten Test Network Chain. This means that even if our website is compromised, the Etherium network will have a verifiable copy of the data.

How we built it

We got our data by reading actual vehicle logging information from the GeoTab API. We used that information to build a blockchain where each ""block"" consists of three values: the hash of the previous block, the data we want to have a verifiable record of, and a Nonce, or random number. We published this information to the Etherium Ropsten Test Network Chain using the web3 Python library and a smart contract that we wrote using Solidity, and we also wrote it to a local database. We used this database for our website, which can display the information in an easy-to-understand way.

Challenges we ran into and accomplishments that we're proud of

Writing a Smart Contract in Solidity was surprisingly difficult, partially because Solidity is an unfinished language. There were times when we had to work around Solidity having the framework for implementing a feature but not having implemented the feature yet. Additionally, learning to communicate with our Smart Contract via Python3 was complicated, and it was a very proud moment when we got it to work!

Signing hashes and getting JSON to export the signatures of data was also a challenge, but now we have multiple authentication methods to verify data is correct!

What we learned

We have never written a Smart Contract before, especially not one in Solidity. Trying to wrangle the language into doing a fairly simple task has given us a lot of respect for those who write the complex applications that are deployed to the real Etherium chain.

What's next for CAN Theft Auto: Blockchain

We'd like to flesh out the smart contract we wrote more, and include more data, such as the signature of the hash. We would also like to get real-time data from geotab, but because the car the GeoTab device is in isn't always moving we just used sample data for this project so we had data at-will.
",,https://github.com/aowsenek/NV_BlockChain/,,"MLH: Best Domain Registered with Domain.com, Best Smart contract usage","python, solidity, ropsten-test-network, flask, rsa, sha-256, geotab, json, etherium, html, css, blockchain, logs, blood, sweat, tears",0,Desks in the hallway outside of Winter Park,1,CU Boulder,,Domain.com,aowsenek,"University of Colorado, University of Colorado at Boulder",1,apccurtiss881,,
CapSense LED,https://hackcuv.devpost.com/submissions/113939-capsense-led,"What if I made LED's controllable by touch?

Touch sensors are in our everyday life, but with a little work, and a couple of micro controllers, I figured I could add some flare to the ordinary touch sensor. There are only three components: A low power consumption board called the Pearl Gecko, an Arduino Uno, and a strip of LEDs.

What it does

The capacitive touch sensor is housed on the Pearl Gecko. Once it senses a touch, it sends this information via GPIO to the Arduino (Either 0 for no touch, or 1 for touch). The Arduino then takes this information, and drives the LED's accordingly. The buttons on the Pearl Gecko give different types of lights to display!

How I built it

The Pearl Gecko is a low power consumption board, so by default most devices on the board are powered off. In order to turn a peripheral on (like the touch sensor), I had to: enable the peripheral's clocks (in many cases, one peripheral runs off of many different clocks), route the connection, and finally initialize the peripheral. 

Now that the sensor is enabled, I need to establish that a touch has occurred. The sensor has a register that stores its data at all times(0x0 for no touch, and around 0x4050 for a touch). If a touch occurred then the GPIO pin would be set to high. 

In order to have more fun I decided to add push button functionality as well that changed what color and style of LEDs would be displayed.

Moving to the Arduino, the LEDs are driving using the famous FastLED library. This gave me a skeleton structure to code the LEDS off of, as well as well defined values for colors. 

There was one output pin for the LED data, and 3 input pins to read in the Pearl Gecko Data.
There is an interrupt on one of the pins, in order to have stacked LED display. 

Challenges I ran into

The Pearl Gecko uses code that embedded software to satisfy its low power consumption. The Arduino Uno is a board that is higher level. Making these two talk to each other was very difficult at times. I originally wanted to use SPI, UART, or I2C, but I figured that a simple hi-low communication would be the best when talking between two different boards. On/Off is the universal language of the computer world!

Accomplishments that I'm proud of

The response is almost immediate
It works!
It only draws ~5mA

What I learned

*Making different micro controllers that run off of different languages talk to each other is a very intricate process. *

What's next for CapSense LED

I want to piggy back off of my 5mA comment before, if this system only draws that much current here is what is in store with this idea:

Specific board design for this idea
If I could isolate all of the logic onto one board, the power draw would be even less, through some math about ~3mA average. This would allow the addition of flare to any touch sensor system on the market, without impeding the circuitry at all. Why?

3mA is very negligible. 
How negligible?

An iPhone 7 battery has a 1960mAh battery. Meaning you could run this circuitry for 653 hours drawing 3 mA.
",https://www.youtube.com/watch?v=jPeYxG0V-KY,,,Best Hardware Hack,"c, led, gpio, capacitive-touch, leds, arduino",0,Vail,3,University of Colorado at Boulder,,,kurtsprague,University of Colorado at Boulder,0,,,
Will you die? A weather experience,https://hackcuv.devpost.com/submissions/113940-will-you-die-a-weather-experience,"Inspiration

it was really cold out

What it does

finds your location based on an ip address api and uses a weather api to get the temperature and conditions 

How I built it

Using python and two APIs

Challenges I ran into

Neither of us had touched either python or an API before so all of that had to be learned on the fly

Accomplishments that I'm proud of

We could produce a product out of zero background knowledge whatsoever

What I learned

How to use APIs in python and how to interpret that data

What's next for Will you die? A weather experience

At some point I would like to add a user interface of some type
",,https://github.com/ParkerMorr/HackCU/tree/master,,Best Beginner Hack,python,1,Main auditorium,46,University of Colorado,,,PorkyPenguin,University of Colorado at Boulder,0,,,
SideKick,https://hackcuv.devpost.com/submissions/113942-sidekick,"Inspiration

We were looking into what incentives attract students to events, and the more research we did, the more we knew that students are facing with an issue regarding time management and free food or fun activities don't bother them much. So, we came up with SideKick, an intuitive scheduler.

What it does

SideKick is an App that automatically generates a study schedule using a Canvas LMS integration and a prioritization formula. The schedule is also designed around a student's studying preferences and other extra-curricular activities. Using a redeemable point system, it incentivizes students to follow the schedule.

How I built it

We began making it this weekend using React Native, Javascript and node.js. We used Expo to test the app while building. We used Figma to create our prototype.

Challenges I ran into

Being entirely new to the react native development framework and Javascript, the learning curve was steep. We were happy to be able to create a test app, which works as a to-do list to complete tasks.

Accomplishments that I'm proud of

We are proud of how far we have come with little understanding of javascript and mobile app development in general.

What I learned

We learned how hard it is to learn a new language overnight and how much info is available online to continue working on an idea.

What's next for SideKick

We are planning on expanding the team to do further development for the next couple of months. We are competing at NVC 11 and Catalyze CU.
",,https://github.com/sidekick-learning/App-Version-1,,Best Beginner Hack,"react-native, atom, sublime-text, javascript, expo.io, node.js",1,Main auditorium,no idea,CU boulder,,,avinashuddaraju,,0,,,
Pancake Post,https://hackcuv.devpost.com/submissions/113943-pancake-post,"Inspiration

We wanted to build an extension and a web page that presented a specific forum and chat on a different webpage.

What it does

Pancake Post is a website and an extension, and presents the user with a forum page and a chat page to connect them with other users on the same website.

How we built it

We used browser extensions for the front-end and flask socket-io for the back-end. 

Challenges we ran into

It was hard to get the web sockets to communicate. 

Accomplishments that we're proud of

We were finally able to get the sockets to work and implement the real time chat.

What we learned

We learned more about flask socket-io and how to communicate between front-end and back-end using Jinja2 and JavScript. We were able to containerize our project and share with the working environment with our team members. Additionally, we learned how to host on Google Cloud Platform.

What's next for Pancake Post

We may want to implement supporting inserting images in the forum posts and chat. 
",,https://github.com/joshf26/Pancake-Post,,"MLH: Best Domain Registered with Domain.com, MLH: Best use of Google Cloud Platform","python, flask, jinja, javascript, html, css, socket.io, postgresql, google-cloud",0,Copper Mountain Room,9,University of Colorado at Boulder,,Google Cloud Platform,TiffanyVPhan,University of Colorado at Boulder,1,joshf26,,
PROJEKT JUICE 2088 VR: 358MECH/fate,https://hackcuv.devpost.com/submissions/113944-projekt-juice-2088-vr-358mech-fate,"Inspiration

11 years ago, our world was irreparably changed. The events of The Occurrence have long been shrouded in layers of corporate secrecy, but everyone alive knows the importance of that world-shattering discovery - JUICE. Long had humanity searched for a source of endless power, but it was not found among the gilded halls of alchemy. This holy grail was found in a far humbler place: The Bar of The Multiverse. The knowledge of Juice, long dormant, resurfaced in 2077. Our search for unlimited energy has ended. The mech wars have just begun.

Our Philosophy

A spectre is haunting Europe--the spectre of Juice. All the Powers of old Europe have entered into a holy alliance to
exorcise this spectre: Pope and Czar, Metternich and Guizot, French Radicals and German police-spies.

Where is the party in opposition that has not been decried as Juicy by its opponents in power?  Where is the Opposition that has not hurled back the branding reproach of Juice, against the more advanced opposition parties, as well as against its reactionary adversaries?

Two things result from this fact.

I.  Juice is already acknowledged by all European Powers to be itself a Power.

II.  It is high time that fans of Juice should openly, in the face of the whole world, publish their views, their aims, their tendencies, and meet this nursery tale of the Spectre of Juice with a Manifesto of the party itself.

Check out our SoundCloud for more!

What it does

After the overwhelmingly positive response we received to 2019's Award-Winning cult and agnostic classic, PROJEKT JUICE 2077 VR: After Dark, we knew that we needed to take gaming into the future.  For the first time ever gaming has been brought into the 21st century.  By looking further into the future than anyone before us, we can tell a harrowing tale of the folly of man, and the power of Juice.

This interactive experience allows you to enter the cyberpunk dystopian future where mega-corporations are in charge, drinks rule, and mechs are cool.  Juice has provided the means for the downtrodden to rise up against their oppresors.  As a pilot for the Ultimate Multiverse Bar (UMB), you are leading the charge.  Be The Hero the people need.  Suit up, punch buildings, score points, get Juice.

Challenges we ran into

Unity is a terrible engine that has been constantly riddled with major, breaking bugs since release. It is remarkable that anyone has ever managed to develop software in Unity.

Also, someone cheated in the Joy of MS Paint and I don't think I'll ever recover, i mean, who does that? right? we made it very clear that you had to use th

Accomplishments that we're proud of

When asked to comment, Kevin ""Ethan Hunter"" Yang and Maxine ""I'll leave it up to your better judgement"" Hartnett both shook their heads in silence.

Aaron ""Thor"" Aaeng and Connor ""dot fun"" Hudson are proud of them in any case.

What we learned

computers were a mistake

What's next for PROJEKT JUICE 2088 VR: 358MECH/fate

After our Oscar's snub, we found ourselves lost and without cause.  Through intensive soul-searching and group therapy, we now have direction.  So today, we are excited to announce the youth novelization of the PROJEKT JUICE Canon.  Written through a collaboration between Stephenie Meyer and Adam Levine, we are hoping to bring this sci-fi fantasy romance thriller to a younger demographic.
",,,,,"unity, pain, the-friends-we-made-along-the-way, garage-band-check-out-my-soundcloud",0,Vail,49,CU Boulder,Alienware Laptop,,Schmaron,University of Colorado at Boulder,1,connorhudson,,
Automated Emergency Detection & Notification,https://hackcuv.devpost.com/submissions/113945-automated-emergency-detection-notification,"Inspiration

To create a fast, easy and reliable emergency helpline for people in need

What it does

Sends an automated emergency alert containing the exact location of the person who needs help, his name, city, etc to his emergency notification list

How we built it

We used Twitter API to look for particular keywords to mine the related tweets and use Twilio API to send automated call and SMS alerts to the corresponding persons.

Challenges we ran into

Fetching the location coordinates of the subscriber
Capturing real-time updates in form of a tweet
Parallel processing of data mining and processing
Filtering only relevant tweets
Connecting the Twitter API with Twilio API

Accomplishments that we're proud of

Meeting the objective of the project
Overcoming the challenges faced during the implementation

What we learned

Learning about Twitter API
Learning about Twilio API
tweepy and twilio modules of Python
Data extraction from json file
Parallel processing in Python 

What's next for Automated Emergency Detection & Notification

Making the users subscribe via an app
Making the filtering mechanism more reliable
Extending the support to other social media such as Facebook, Instagram, etc
",,,,"Best use of Twitter API, Coolest Hack with Twilio","python, twitter, twilio",0,Winter Park,8,University of Colorado Boulder,,,parthadroja,University of Colorado at Boulder,1,animeshgupta50,,
Decrypted The Game,https://hackcuv.devpost.com/submissions/113948-decrypted-the-game,"Inspiration

Elijah and I have grown up around computers, video games, and learning to program from young ages. Cybersecurity is something I have a passion for learning more about and Elijah has a knack for game design. We decided to incorporate both to help teach K-12 about SSL certificates.

What it does

This is a 2D adventure game that has the user run between NPC's attaching public and private keys to data to keep a ""chest"" safe with an ingredient needed for a wizard to access the internet.

How we built it

We used Unity, photoshop, C#, and our IDE's to create, code, and design the game along with some free assets online here and there.

Challenges we ran into

Learning how to create a quest object was a difficult situation for me to overcome. After spending a dumb amount of time creating a makeshift version of what I would have liked to do, I came along the idea of using a data structure to store quests along with information about them such as type/objective of the quest, locations to start and end, etc. Animation was an issue we ran into just because of time constraints. We wanted to create better character textures and could have done so if we had an extra 2 hours to create animations.

Accomplishments that we're proud of

Creating a working prototype of a game in under 48 hours (This was my [Chase] first time using Unity) that accomplished goals and complete quests to teach a user about a cyber security topic.

What we learned

I learned Unity from the ground up [Chase]. I knew C++ coming into this which translated nicely into C# with a few slight changes to syntax. Elijah definitely improved his scripting skills for animation and npc tracking.

What's next for Decrypted The Game

We'd like to refine the textures, add more levels with more quests about different topics within the cybersecurity realm. Animation for characters is definitely on of the first things we will tackle however. Maybe even a user customization screen for their character.
",https://youtu.be/Szyxp7RunZo,http://decryptedgame.com,,"MLH: Best Domain Registered with Domain.com, Design, Build or Break Cyber Games for K-12 Education","unity, c#, photoshop, pycharm, adobe-brackets",0,Lobby,11,"University of Colorado Denver, University of Colorado Colorado Springs",,Domain.com,wallacecs007,"University of Colorado Denver, University of Colorado at Colorado Springs",1,ElijahSalberg,,
